型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
惠普PAVILION 14-BF116TX（2SL41PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180921.shtml,https://2e.zol-img.com.cn/product/185_80x60/12/ceoUrm2fCqvn.png,5199,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,128GB+1TB,混合硬盘（SSD+HDD）,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF112TX（2SL37PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180917.shtml,https://2c.zol-img.com.cn/product/185_80x60/4/ceCGQoNHla0jo.png,5499,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,256GB,SSD固态硬盘,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF122TX（2SL47PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180922.shtml,https://2c.zol-img.com.cn/product/185_80x60/58/cevFlEnRmO4Vo.png,6499,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,128GB+1TB,混合硬盘（SSD+HDD）,1268,性能级独立显卡,NVIDIA GeForce 940MX,4GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF111TX（2SL36PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180923.shtml,https://2e.zol-img.com.cn/product/185_80x60/120/ceWKuiX4cVifs.png,5499,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,256GB,SSD固态硬盘,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF110TX（2SL35PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180926.shtml,https://2f.zol-img.com.cn/product/185_80x60/181/cecwxMm865s6.png,5699,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,256GB,SSD固态硬盘,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,粉色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF123TX（2SL48PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180925.shtml,https://2c.zol-img.com.cn/product/185_80x60/136/cehGuzfszzEHo.png,6499,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,128GB+1TB,混合硬盘（SSD+HDD）,1268,性能级独立显卡,NVIDIA GeForce 940MX,4GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF124TX（2SL49PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1182472.shtml,https://2c.zol-img.com.cn/product/186_80x60/402/ceGmnFo8rKsq6.png,6499,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2400MHz,NULL,256GB,SSD固态硬盘,1268,性能级独立显卡,NVIDIA GeForce 940MX,4GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF118TX（2SL43PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180929.shtml,https://2c.zol-img.com.cn/product/185_80x60/190/ce5EURlQ0Q3vc.png,5699,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,128GB+1TB,混合硬盘（SSD+HDD）,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,粉色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF117TX（2SL42PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1180924.shtml,https://2d.zol-img.com.cn/product/185_80x60/131/cejmPWAmb6JX6.png,5499,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,NULL,128GB+1TB,混合硬盘（SSD+HDD）,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普PAVILION 14-BF114TX（2SL39PA）,PAVILION 14-BF100TX系列,http://detail.zol.com.cn/notebook/index1182356.shtml,https://2a.zol-img.com.cn/product/186_80x60/422/cehRuIPxpCWbQ.png,5299,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,4GB（4GB×1）,DDR4 2133MHz,NULL,128GB+500GB,混合硬盘（SSD+HDD）,1268,性能级独立显卡,NVIDIA GeForce 940MX,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,3芯锂电池,NULL,NULL,FHD，LED背光，IPS宽视角屏，5.4mm窄边框,支持802.11b/g/n/ac无线协议,内置双扬声器,1920x1080,2017年08月,NULL,NULL,智盾硬盘保护系统，智凉散热系统,家用,2×USB3.0，USB3.1 Type-C接口,NULL,NULL,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频，Audio Boost技术,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office家庭和学生版2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列数字麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,8小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
